# PURPOSE: This file distributes the geomagnetic planetary three-hour index Kp and associated geomagnetic indices as well as relevant solar indices.
# LICENSE: CC BY 4.0, except for the sunspot numbers contained in this file, which have the CC BY-NC 4.0 license
# SOURCE: Geomagnetic Observatory Niemegk, GFZ Helmholtz Centre for Geosciences
# PLEASE CITE: Matzka, J., Stolle, C., Yamazaki, Y., Bronkalla, O. and Morschhauser, A., 2021. The geomagnetic Kp index 
# and derived indices of geomagnetic activity. Space Weather, https://doi.org/10.1029/2020SW002641
#
# Kp, ap and Ap
# The three-hourly equivalent planetary amplitude ap is derived from Kp and the daily equivalent planetary amplitude Ap is the daily mean of ap.
# Kp is unitless. Ap and ap are unitless and can be multiplied by 2 nT to yield the average geomagnetic disturbance at 50 degree geomagnetic latitude.
# Kp, ap and Ap were introduced by Bartels (1949, 1957) and are produced by Geomagnetic Observatory Niemegk, GFZ Helmholtz Centre for Geosciences.
# Described in: Matzka et al. (2021), see reference above.
# Data publication: Matzka, J., Bronkalla, O., Tornow, K., Elger, K. and Stolle, C., 2021. Geomagnetic Kp index. V. 1.0. GFZ Data Services, 
# https://doi.org/10.5880/Kp.0001
# Note: the most recent values are nowcast values and will be replaced by definitive values as soon as they become available.
# 
# International Sunspot Number SN
# The international sunspot number SN (written with subscript N) is given as the daily total sunspot number version 2.0 introduced in 2015.
# The sunspot data is available under the licence CC BY-NC 4.0 from WDC-SILSO, Royal Observatory of Belgium, Brussels. Described in:
# Clette, F., Lefevre, L., 2016. The New Sunspot Number: assembling all corrections. Solar Physics, 291, https://doi.org/10.1007/s11207-016-1014-y 
# Note: the most recent values are preliminary and replaced by definitive values as soon as they become available.
#
# F10.7 Solar Radio Flux
# Local noon-time observed (F10.7obs) and adjusted (F10.7adj) solar radio flux F10.7 in s.f.u. (10^-22 W m^-2 Hz^-1) is provided by 
# Dominion Radio Astrophysical Observatory and Natural Resources Canada.
# Described in: Tapping, K.F., 2013. The 10.7 cm solar radio flux (F10.7). Space Weather, 11, 394-406, https://doi.org/10.1002/swe.20064 
# Note: For ionospheric and atmospheric studies the use of F10.7obs is recommended.
# 
# Short file description (for a detailed file description, see Kp_ap_Ap_SN_F107_format.txt):
# 40 header lines, all starting with #
# ASCII, blank separated and fixed length, missing data indicated by -1.000 for Kp, -1 for ap and SN, -1.0 for F10.7
# YYYY MM DD is date of UT day, days is days since 1932-01-01 00:00 UT to start of UT day, days_m is days since 1932-01-01 00:00 UT to midday of UT day
# BSR is Bartels solar rotation number, dB is day within BSR 
# Kp1 to Kp8 (Kp for the eight eighth of the UT day), ap1 to ap8 (ap for the eight eighth of the UT day), Ap, SN, F10.7obs, F10.7adj
# D indicates if the Kp and SN values are definitive or preliminary. D=0: Kp and SN preliminary; D=1: Kp definitive, SN preliminary; D=2 Kp and SN definitive
#
#
# The format for each line is (i stands for integer, f for float):
#iii ii ii iiiii fffff.f iiii ii ff.fff ff.fff ff.fff ff.fff ff.fff ff.fff ff.fff ff.fff iiii iiii iiii iiii iiii iiii iiii iiii  iiii iii ffffff.f ffffff.f i
# The parameters in each line are:
#YYY MM DD  days  days_m  Bsr dB    Kp1    Kp2    Kp3    Kp4    Kp5    Kp6    Kp7    Kp8  ap1  ap2  ap3  ap4  ap5  ap6  ap7  ap8    Ap  SN F10.7obs F10.7adj D
2024 05 21 33744 33744.5 2602  4  1.667  0.667  0.667  2.333  2.667  2.667  1.667  1.333    6    3    3    9   12   12    6    5     7 177    190.8    195.4 2
2024 05 22 33745 33745.5 2602  5  1.667  0.333  0.333  0.000  0.333  0.667  1.333  1.333    6    2    2    0    2    3    5    5     3 165    195.7    200.6 2
2024 05 23 33746 33746.5 2602  6  0.667  1.333  1.333  2.000  2.333  1.667  2.333  3.333    3    5    5    7    9    6    9   18     8 143    176.2    180.7 2
2024 05 24 33747 33747.5 2602  7  2.333  3.000  2.667  3.000  2.000  1.333  0.333  1.000    9   15   12   15    7    5    2    4     9 142    162.8    167.0 2
2024 05 25 33748 33748.5 2602  8  1.333  1.333  1.333  0.667  0.667  2.000  1.333  2.333    5    5    5    3    3    7    5    9     5 112    152.4    156.4 2
2024 05 26 33749 33749.5 2602  9  1.333  2.333  0.667  2.333  2.667  2.667  2.667  1.000    5    9    3    9   12   12   12    4     8 130    155.6    159.7 2
2024 05 27 33750 33750.5 2602 10  1.000  0.333  2.333  3.000  2.333  1.333  1.333  2.000    4    2    9   15    9    5    5    7     7 144    170.0    174.6 2
2024 05 28 33751 33751.5 2602 11  2.000  1.667  1.667  0.667  0.333  0.667  0.667  0.667    7    6    6    3    2    3    3    3     4 164    166.4    170.9 2
2024 05 29 33752 33752.5 2602 12  0.333  0.667  1.667  1.667  1.000  1.667  2.333  1.667    2    3    6    6    4    6    9    6     5 169    170.5    175.2 2
2024 05 30 33753 33753.5 2602 13  0.333  0.667  0.667  1.333  2.000  3.333  2.000  2.667    2    3    3    5    7   18    7   12     7 159    172.9    177.7 2
2024 05 31 33754 33754.5 2602 14  2.667  4.333  2.333  1.000  1.333  1.667  1.667  1.333   12   32    9    4    5    6    6    5    10 156    179.4    184.5 2
2024 06 01 33755 33755.5 2602 15  2.667  0.333  0.667  1.000  1.333  1.333  0.667  0.000   12    2    3    4    5    5    3    0     4 178    226.9    233.3 2
2024 06 02 33756 33756.5 2602 16  0.333  0.667  0.333  1.000  0.667  1.000  1.333  2.333    2    3    2    4    3    4    5    9     4 205    179.8    185.0 2
2024 06 03 33757 33757.5 2602 17  1.667  1.000  1.333  1.667  1.667  1.333  2.000  4.333    6    4    5    6    6    5    7   32     9 213    186.0    191.4 2
2024 06 04 33758 33758.5 2602 18  2.333  2.667  2.000  2.000  1.000  0.667  0.333  0.333    9   12    7    7    4    3    2    2     6 213    192.3    198.0 2
2024 06 05 33759 33759.5 2602 19  0.667  2.000  1.667  1.333  2.333  1.333  1.667  2.333    3    7    6    5    9    5    6    9     6 181    195.3    201.1 2
2024 06 06 33760 33760.5 2602 20  1.667  1.333  2.000  0.667  1.667  1.667  0.333  0.333    6    5    7    3    6    6    2    2     5 158    190.9    196.7 2
2024 06 07 33761 33761.5 2602 21  1.000  2.333  2.333  3.667  6.333  5.667  3.000  3.000    4    9    9   22   94   67   15   15    29 163    184.4    190.0 2
2024 06 08 33762 33762.5 2602 22  4.667  3.000  2.667  2.667  2.000  2.667  2.000  1.667   39   15   12   12    7   12    7    6    14 173    190.4    196.2 2
2024 06 09 33763 33763.5 2602 23  1.333  0.667  1.000  0.667  2.000  1.000  1.667  1.333    5    3    4    3    7    4    6    5     5 154    180.9    186.4 2
2024 06 10 33764 33764.5 2602 24  1.333  0.333  0.667  1.000  0.667  3.667  4.000  2.000    5    2    3    4    3   22   27    7     9 124    177.8    183.3 2
2024 06 11 33765 33765.5 2602 25  3.667  4.333  2.333  1.333  1.000  1.000  0.667  1.333   22   32    9    5    4    4    3    5    10 106    164.9    170.1 2
2024 06 12 33766 33766.5 2602 26  0.667  0.667  0.667  0.667  1.000  1.333  1.000  1.333    3    3    3    3    4    5    4    5     4 124    164.9    170.0 2
2024 06 13 33767 33767.5 2602 27  0.333  0.333  0.333  0.333  1.000  1.000  1.000  0.000    2    2    2    2    4    4    4    0     2 151    170.1    175.5 2
2024 06 14 33768 33768.5 2603  1  0.333  0.667  2.000  1.667  1.000  0.667  1.667  2.333    2    3    7    6    4    3    6    9     5 158    169.0    174.3 2
2024 06 15 33769 33769.5 2603  2  2.333  2.333  2.000  3.000  4.667  3.333  2.667  4.000    9    9    7   15   39   18   12   27    17 148    170.7    176.1 2
2024 06 16 33770 33770.5 2603  3  2.667  0.667  2.000  3.333  3.667  3.000  4.000  1.667   12    3    7   18   22   15   27    6    14 151    167.3    172.6 2
2024 06 17 33771 33771.5 2603  4  2.000  2.333  1.667  1.667  2.333  3.333  3.333  3.000    7    9    6    6    9   18   18   15    11 140    179.9    185.7 2
2024 06 18 33772 33772.5 2603  5  1.667  2.667  2.667  2.667  2.667  3.333  1.667  1.333    6   12   12   12   12   18    6    5    10 133    192.7    199.0 2
2024 06 19 33773 33773.5 2603  6  2.667  3.000  2.000  1.333  3.333  2.667  2.000  1.000   12   15    7    5   18   12    7    4    10 151    196.0    202.3 2
2024 06 20 33774 33774.5 2603  7  2.000  1.333  1.333  1.000  1.667  1.333  2.333  2.333    7    5    5    4    6    5    9    9     6 165    203.3    210.0 2
2024 06 21 33775 33775.5 2603  8  1.333  1.333  0.667  0.333  0.333  0.333  1.000  0.667    5    5    3    2    2    2    4    3     3 150    196.9    203.3 2
2024 06 22 33776 33776.5 2603  9  1.333  0.333  0.333  0.333  0.667  1.000  0.667  0.667    5    2    2    2    3    4    3    3     3 159    195.7    202.1 2
2024 06 23 33777 33777.5 2603 10  1.000  1.667  2.667  3.000  3.333  2.667  2.333  1.667    4    6   12   15   18   12    9    6    10 163    195.8    202.2 2
2024 06 24 33778 33778.5 2603 11  1.667  0.333  0.333  0.333  0.667  0.667  1.000  1.333    6    2    2    2    3    3    4    5     3 153    198.7    205.3 2
2024 06 25 33779 33779.5 2603 12  1.333  1.333  2.000  2.000  1.667  2.667  1.667  1.000    5    5    7    7    6   12    6    4     6 146    193.7    200.1 2
2024 06 26 33780 33780.5 2603 13  1.000  1.333  2.333  2.667  2.667  2.667  2.333  1.333    4    5    9   12   12   12    9    5     8 179    181.4    187.4 2
2024 06 27 33781 33781.5 2603 14  1.667  1.333  0.667  1.000  2.000  2.333  2.333  3.333    6    5    3    4    7    9    9   18     8 174    182.5    188.6 2
2024 06 28 33782 33782.5 2603 15  3.667  4.000  4.000  6.000  7.667  5.667  5.333  3.667   22   27   27   80  179   67   56   22    60 179    180.7    186.7 2
2024 06 29 33783 33783.5 2603 16  4.000  2.333  2.000  2.333  2.000  3.000  3.000  2.667   27    9    7    9    7   15   15   12    13 219    186.4    192.7 2
2024 06 30 33784 33784.5 2603 17  2.333  2.333  1.333  2.667  3.333  3.667  2.333  1.667    9    9    5   12   18   22    9    6    11 212    173.8    179.6 2
