L,B_over_B0,E_0.16_MeV,E_0.35_MeV,E_0.6_MeV,E_0.9_MeV,E_1.5_MeV,E_2.5_MeV,E_3.5_MeV,E_4.5_MeV,E_5.5_MeV,E_6.5_MeV
1.8,4.491,4.01e+06,252000,21500,4340,762,61.7,0,0,0,0
1.8,4.678,2.07e+06,129000,10600,2150,376,30.5,0,0,0,0
1.8,4.865,643000,39500,3230,653,115,0,0,0,0,0
1.8,5.052,0,0,0,0,0,0,0,0,0,0
1.9,1,4.19e+08,5.4e+07,4.51e+06,908000,128000,6590,299,0,0,0
1.9,1.32,2.62e+08,2.93e+07,2.36e+06,476000,67100,3450,157,0,0,0
1.9,1.761,1.57e+08,1.53e+07,1.18e+06,238000,33600,1730,78.5,0,0,0
1.9,2.201,1.02e+08,8.78e+06,659000,133000,18700,964,43.7,0,0,0
1.9,2.641,6.77e+07,5.32e+06,389000,78300,11000,568,0,0,0,0
1.9,3.081,4.59e+07,3.33e+06,236000,47600,6710,345,0,0,0,0
1.9,3.521,3.09e+07,2.08e+06,145000,29300,4120,212,0,0,0,0
1.9,3.961,2.03e+07,1.28e+06,88000,17700,2500,129,0,0,0,0
1.9,4.401,1.28e+07,762000,51300,10300,1460,75,0,0,0,0
1.9,4.842,7.37e+06,414000,27600,5550,783,40.3,0,0,0,0
1.9,5.282,3.48e+06,190000,12300,2480,349,0,0,0,0,0
1.9,5.722,951000,49100,3120,628,88.5,0,0,0,0,0
1.9,6.162,0,0,0,0,0,0,0,0,0,0
2,1,3.75e+08,4.11e+07,3.07e+06,656000,74900,3090,105,0,0,0
2,1.54,1.92e+08,1.73e+07,1.22e+06,260000,29700,1230,41.7,0,0,0
2,2.053,1.18e+08,9.34e+06,632000,135000,15400,636,0,0,0,0
2,2.567,7.9e+07,5.54e+06,364000,77700,8880,366,0,0,0,0
2,3.08,5.42e+07,3.46e+06,221000,47300,5400,223,0,0,0,0
2,3.593,3.76e+07,2.21e+06,139000,29600,3380,139,0,0,0,0
2,4.107,2.61e+07,1.43e+06,87600,18700,2140,88.2,0,0,0,0
2,4.62,1.77e+07,915000,55300,11800,1350,55.7,0,0,0,0
2,5.133,1.16e+07,566000,33600,7190,821,33.9,0,0,0,0
2,5.647,7.16e+06,327000,19200,4100,468,0,0,0,0,0
2,6.16,3.77e+06,165000,9690,2070,236,0,0,0,0,0
2,6.674,1.39e+06,57800,3330,711,81.2,0,0,0,0,0
2,7.187,134,0,0,0,0,0,0,0,0,0
2,7.444,0,0,0,0,0,0,0,0,0,0
2.2,1,3.02e+08,2.55e+07,2.61e+06,524000,38800,1230,0,0,0,0
2.2,1.367,1.95e+08,1.39e+07,1.37e+06,275000,20400,644,0,0,0,0
2.2,2.05,1.06e+08,6.35e+06,585000,118000,8690,275,0,0,0,0
2.2,2.733,6.76e+07,3.44e+06,302000,60600,4490,142,0,0,0,0
2.2,3.416,4.54e+07,2.05e+06,173000,34800,2570,81.3,0,0,0,0
2.2,4.1,3.13e+07,1.28e+06,105000,21100,1560,0,0,0,0,0
2.2,4.783,2.22e+07,825000,66200,13300,983,0,0,0,0,0
2.2,5.466,1.56e+07,541000,42200,8480,627,0,0,0,0,0
2.2,6.15,1.1e+07,352000,27100,5430,402,0,0,0,0,0
2.2,6.833,7.41e+06,225000,17000,3410,252,0,0,0,0,0
2.2,7.516,4.79e+06,139000,10200,2040,151,0,0,0,0,0
2.2,8.2,2.83e+06,77800,5620,1130,83.4,0,0,0,0,0
2.2,8.883,1.36e+06,35400,2600,522,38.6,0,0,0,0,0
2.2,9.566,354000,8860,617,124,0,0,0,0,0,0
2.2,10.249,0,0,0,0,0,0,0,0,0,0
2.4,1,2.19e+08,1.74e+07,2.3e+06,460000,49000,992,0,0,0,0
2.4,1.775,1.55e+08,1.23e+07,1.63e+06,326000,34800,704,0,0,0,0
2.4,2.662,6.34e+07,5.04e+06,666000,133000,14200,287,0,0,0,0
2.4,3.549,2.09e+07,1.66e+06,220000,43900,4680,0,0,0,0,0
2.4,4.437,8.92e+06,709000,93700,18700,2000,0,0,0,0,0
2.4,5.324,4.43e+06,352000,46500,9290,991,0,0,0,0,0
2.4,6.211,2.34e+06,186000,24600,4910,524,0,0,0,0,0
2.4,7.098,1.24e+06,98200,13000,2590,277,0,0,0,0,0
2.4,7.986,700000,55700,7360,1470,157,0,0,0,0,0
2.4,8.873,371000,29500,3900,779,83.2,0,0,0,0,0
2.4,9.76,196000,15600,2060,412,0,0,0,0,0,0
2.4,10.648,101000,8020,1060,212,0,0,0,0,0,0
2.4,11.535,45900,3650,483,96.6,0,0,0,0,0,0
2.4,12.422,19200,1530,202,42.2,0,0,0,0,0,0
2.4,13.31,5700,453,60,12.9,0,0,0,0,0,0
2.4,14.197,940,74.8,0,0,0,0,0,0,0,0
2.4,14.26,787,62.6,0,0,0,0,0,0,0,0
2.75,1,1.06e+08,9.17e+06,1.36e+06,563000,151000,16800,1160,86.2,0,0
2.75,2.668,4.7e+07,4.08e+06,605000,251000,67200,7520,524,38.8,0,0
2.75,4.003,1.65e+07,1.44e+06,213000,88100,23700,2650,184,0,0,0
2.75,5.337,8.27e+06,719000,107000,44100,11900,1330,92.4,0,0,0
2.75,6.671,4.83e+06,420000,62300,25800,6940,781,54.5,0,0,0
2.75,9.34,2e+06,174000,25900,10700,2880,323,22.8,0,0,0
2.75,13.342,644000,56100,8340,3450,934,106,0,0,0,0
2.75,16.011,306000,26700,3980,1650,447,51.5,0,0,0,0
2.75,18.679,135000,11900,1780,736,203,23.2,0,0,0,0
2.75,20.013,85300,7540,1130,471,129,15.1,0,0,0,0
2.75,21.348,50900,4530,684,283,77.9,0,0,0,0,0
2.75,22.682,27600,2470,377,156,43.2,0,0,0,0,0
3,1,4.06e+07,6.87e+06,1.4e+06,616000,217000,43100,9680,2990,1110,197
3,1.733,3.12e+07,5.28e+06,1.08e+06,473000,167000,33100,7430,2300,853,151
3,5.199,7.22e+06,1.22e+06,250000,110000,38700,7680,1720,533,197,0
3,8.666,3.18e+06,539000,110000,48300,17000,3380,759,235,87,0
3,17.331,824000,140000,28500,12500,4410,876,197,60.8,22.5,0
3,25.997,255000,43300,8830,3880,1370,272,60.9,18.8,6.99,0
3,35.095,49200,8340,1700,747,264,52.3,11.8,3.58,0,0
3,43.328,0,0,0,0,0,0,0,0,0,0
3.5,1,2.41e+07,7.31e+06,2.52e+06,990000,497000,124000,35700,10800,1340,54.2
3.5,1.376,2.2e+07,6.68e+06,2.31e+06,904000,454000,113000,32700,9860,1230,49.5
3.5,13.755,3.79e+06,1.15e+06,397000,156000,78100,19500,5620,1700,211,0
3.5,27.51,1.66e+06,504000,174000,68200,34300,8550,2470,744,92.5,0
3.5,41.265,777000,236000,81300,31900,16000,4000,1150,348,43.2,0
3.5,55.021,269000,81600,28200,11000,5540,1380,399,120,0,0
3.5,68.776,0,0,0,0,0,0,0,0,0,0
4,1,4.29e+07,1.38e+07,3.18e+06,4.4e+06,1.07e+06,252000,60700,10400,599,0
4,2.053,3.37e+07,1.08e+07,2.5e+06,3.45e+06,843000,198000,47600,8150,470,0
4,4.107,2.2e+07,7.07e+06,1.63e+06,2.25e+06,550000,129000,31100,5310,306,0
4,12.32,9.21e+06,2.96e+06,683000,944000,231000,54000,13000,2230,129,0
4,20.534,5.91e+06,1.9e+06,438000,605000,148000,34700,8360,1430,82.5,0
4,41.068,2.71e+06,872000,201000,277000,67800,15900,3830,655,0,0
4,61.602,1.32e+06,424000,97700,135000,33000,7730,1860,319,0,0
4,82.136,482000,155000,35800,49400,12100,2830,682,117,0,0
4,102.669,0,0,0,0,0,0,0,0,0,0
4.5,1,8.97e+07,3.08e+07,1.09e+07,5.64e+06,2.22e+06,361000,62900,6820,263,0
4.5,2.924,5.86e+07,2.01e+07,7.14e+06,3.69e+06,1.45e+06,236000,41000,4460,0,0
4.5,5.848,3.59e+07,1.23e+07,4.37e+06,2.26e+06,887000,145000,25100,2730,0,0
4.5,29.24,9.71e+06,3.34e+06,1.18e+06,611000,240000,39100,6810,739,0,0
4.5,58.48,4.52e+06,1.55e+06,551000,284000,112000,18200,3160,344,0,0
4.5,87.719,2.19e+06,753000,267000,138000,54200,8830,1540,167,0,0
4.5,116.959,825000,283000,101000,51900,20400,3330,578,62.8,0,0
4.5,146.199,0,0,0,0,0,0,0,0,0,0
5,1,1.12e+08,5.23e+07,1.84e+07,8.2e+06,2.42e+06,287000,37900,3990,0,0
5,2.008,8.99e+07,4.18e+07,1.47e+07,6.56e+06,1.93e+06,230000,30300,3190,0,0
5,4.016,5.95e+07,2.77e+07,9.72e+06,4.33e+06,1.28e+06,152000,20000,2110,0,0
5,8.032,3.44e+07,1.6e+07,5.62e+06,2.51e+06,738000,87800,11600,1220,0,0
5,24.096,1.56e+07,7.28e+06,2.56e+06,1.14e+06,336000,40000,5270,555,0,0
5,40.161,9.97e+06,4.64e+06,1.63e+06,727000,214000,25500,3360,354,0,0
5,80.321,4.66e+06,2.17e+06,763000,340000,100000,11900,1570,166,0,0
5,120.482,2.27e+06,1.06e+06,372000,166000,48900,5810,767,80.7,0,0
5,160.643,840000,391000,137000,61300,18100,2150,283,0,0,0
5,200.803,0,0,0,0,0,0,0,0,0,0
6,1,1.38e+08,4.59e+07,1.32e+07,4e+06,899000,87800,10000,1030,0,0
6,1.389,1.26e+08,4.21e+07,1.21e+07,3.67e+06,825000,80600,9210,947,0,0
6,3.472,7.97e+07,2.66e+07,7.62e+06,2.32e+06,520000,50800,5810,597,0,0
6,6.944,4.79e+07,1.6e+07,4.58e+06,1.39e+06,312000,30500,3490,359,0,0
6,13.889,3.01e+07,1e+07,2.88e+06,875000,196000,19200,2190,226,0,0
6,41.667,1.32e+07,4.4e+06,1.26e+06,383000,86000,8400,961,98.8,0,0
6,69.444,8.75e+06,2.92e+06,837000,254000,57100,0,0,0,0,0
6,138.889,4.09e+06,1.36e+06,391000,119000,26700,0,0,0,0,0
6,208.333,2.01e+06,670000,192000,58400,13100,0,0,0,0,0
6,277.778,783000,261000,74900,22800,5110,0,0,0,0,0
6,347.222,0,0,0,0,0,0,0,0,0,0
7,1,1.09e+08,2.34e+07,5.11e+06,1.24e+06,242000,15400,1310,233,0,0
7,5.495,4.68e+07,1.01e+07,2.2e+06,535000,105000,6640,566,0,0,0
7,10.989,2.85e+07,6.13e+06,1.34e+06,326000,63700,4050,345,0,0,0
7,21.978,1.75e+07,3.76e+06,823000,200000,39000,2480,211,0,0,0
7,65.934,8.09e+06,1.74e+06,381000,92500,18100,1150,97.7,0,0,0
7,109.89,5.23e+06,1.12e+06,246000,59800,11700,743,63.2,0,0,0
7,219.78,2.47e+06,531000,116000,28200,5510,350,29.8,0,0,0
7,329.67,1.23e+06,264000,57700,14000,2740,174,14.8,0,0,0
7,439.56,478000,103000,22500,5460,1070,67.8,0,0,0,0
7,549.451,5290,1140,249,60.5,0,0,0,0,0,0
7,604.396,0,0,0,0,0,0,0,0,0,0
8,1,4.9e+07,7.33e+06,940000,204000,28000,810,101,0,0,0
8,3.279,2.96e+07,4.43e+06,567000,123000,16900,489,60.9,0,0,0
8,8.197,1.51e+07,2.26e+06,289000,62600,8620,249,31,0,0,0
8,16.393,9.57e+06,1.43e+06,184000,39800,5480,158,19.7,0,0,0
8,32.787,6.22e+06,931000,119000,25800,3560,103,12.8,0,0,0
8,98.361,2.74e+06,410000,52600,11400,1570,45.3,5.65,0,0,0
8,163.934,1.86e+06,278000,35700,7730,1060,30.7,3.82,0,0,0
8,327.869,871000,130000,16700,3620,498,14.4,0,0,0,0
8,491.803,433000,64900,8310,1800,248,7.26,0,0,0,0
8,655.738,171000,25600,3280,710,97.8,0,0,0,0,0
8,819.672,1850,277,35.7,7.84,0,0,0,0,0,0
8,901.639,0,0,0,0,0,0,0,0,0,0
9,1,1.36e+07,1.14e+06,49900,8980,725,18.2,4.14,0,0,0
9,4.651,6.84e+06,570000,25000,4510,364,9.13,2.18,0,0,0
9,11.628,3.74e+06,312000,13700,2460,199,4.98,0,0,0,0
9,23.256,2.33e+06,194000,8540,1540,124,3.25,0,0,0,0
9,46.512,1.54e+06,128000,5620,1010,81.7,0,0,0,0,0
9,139.535,728000,60700,2660,480,38.8,0,0,0,0,0
9,232.558,495000,41300,1810,326,0,0,0,0,0,0
9,465.116,240000,20000,878,158,0,0,0,0,0,0
9,697.674,123000,10200,450,81,0,0,0,0,0,0
9,930.233,50000,4170,183,32.9,0,0,0,0,0,0
10,1,1.77e+06,53500,408,60,0,0,0,0,0,0
10,6.452,900000,27100,207,30.5,0,0,0,0,0,0
10,16.129,545000,16400,125,18.5,0,0,0,0,0,0
10,32.258,415000,12500,95.5,14.6,0,0,0,0,0,0
10,64.516,289000,8710,66.4,0,0,0,0,0,0,0
10,193.548,160000,4840,36.9,0,0,0,0,0,0,0
10,322.581,117000,3520,26.8,0,0,0,0,0,0,0
10,645.161,63900,1930,0,0,0,0,0,0,0,0
10,967.742,35800,1080,0,0,0,0,0,0,0,0
11,1,79700,0,0,0,0,0,0,0,0,0
11,8.696,53100,0,0,0,0,0,0,0,0,0
11,21.739,42200,0,0,0,0,0,0,0,0,0
11,43.478,36900,0,0,0,0,0,0,0,0,0
11,86.957,28200,0,0,0,0,0,0,0,0,0
11,260.87,20500,0,0,0,0,0,0,0,0,0
11,434.783,16300,0,0,0,0,0,0,0,0,0
11,869.565,10600,0,0,0,0,0,0,0,0,0
