L,B_over_B0,E_0.2_MeV,E_0.6_MeV,E_1.25_MeV,E_3_MeV,E_5_MeV,E_12.5_MeV,E_30_MeV,E_50_MeV,E_125_MeV,E_300_MeV
1.6,2.207,65400,31900,7020,899,449,505,479,129,12.1,1.71
1.6,2.379,26700,13000,2860,367,183,206,195,52.5,4.94,0.697
1.6,2.551,9050,4420,972,124,62.1,70,66.3,17.8,1.68,0.237
1.6,2.724,2140,1040,230,29.4,14.7,16.5,15.7,4.21,0.397,0.0559
1.7,1,350000,356000,316000,305000,226000,41800,1180,292,39.2,2.94
1.7,1.261,130000,135000,115000,99700,90500,16300,606,183,30.1,1.99
1.7,1.577,47700,49600,43500,35700,36300,6430,322,114,21.5,1.3
1.7,1.892,20100,19500,16800,17000,15300,2990,189,74.4,15.6,0.871
1.7,2.207,7160,7790,6830,6890,7020,1460,112,48.9,11.2,0.562
1.7,2.522,2920,3360,2900,2790,3270,712,62.8,30.6,7.93,0.343
1.7,2.838,1330,1580,1250,1260,1230,316,32.7,18.5,5.13,0.182
1.7,3.153,536,603,489,423,319,104,16.4,10.3,2.78,0
1.7,3.311,273,297,267,187,134,42.5,11.1,7.44,1.82,0
1.7,3.468,110,116,97.7,63.9,52.5,17.3,6.49,4.77,1.11,0
1.7,3.626,20.1,28.6,22.2,21.7,12.5,5.41,2.96,2.7,0.593,0
1.7,3.784,7.15,9.12,1.71,4.7,4.45,0.765,1.03,1.05,0.258,0
1.7,3.941,1.7,1.83,0.944,0.638,0.738,0.156,0.161,0.178,0.0673,0
1.7,4.067,0,0,0,0,0,0,0,0,0,0
1.8,1,1.11e+06,1.02e+06,850000,594000,393000,43200,948,214,21.8,1.32
1.8,1.123,699000,621000,554000,364000,243000,28400,713,176,19,1.1
1.8,1.497,210000,192000,166000,104000,81600,10000,345,103,12.3,0.639
1.8,1.871,86600,78400,52300,38400,36700,4540,200,67.1,8.69,0.388
1.8,2.246,30400,29200,19000,16100,16700,2350,126,47,6.19,0.236
1.8,2.62,11000,10800,8510,7460,7560,1260,80.7,32.6,4.48,0.141
1.8,2.994,4260,4080,3730,3400,3380,649,51.1,22.2,3.14,0
1.8,3.368,1490,1600,1500,1360,1390,303,30,14.4,2.11,0
1.8,3.743,666,590,476,535,454,118,16.3,8.63,1.26,0
1.8,3.93,385,364,364,242,225,61.6,11.6,6.18,0.897,0
1.8,4.117,158,177,161,101,93,31.9,7.18,4.05,0.575,0
1.8,4.304,63.8,61,54.2,36.5,27.7,12.8,3.85,2.41,0.333,0
1.8,4.491,18.3,17,18.2,6.36,5.99,3.06,1.71,1.28,0.148,0
1.8,4.678,2.16,2.28,1.05,1.25,1.15,0.655,0.545,0.431,0,0
1.8,4.865,0.252,0.238,0.041,0.0332,0.05,0.0494,0.0325,0,0,0
1.8,4.978,0,0,0,0,0,0,0,0,0,0
1.9,1,6.85e+06,2.53e+06,1.5e+06,878000,535000,37500,761,153,10.6,0.534
1.9,1.32,1.52e+06,886000,549000,322000,194000,15000,387,91.7,7.54,0.3
1.9,1.761,411000,283000,180000,114000,76900,5880,208,56.1,4.94,0.167
1.9,2.201,168000,117000,71000,48400,36600,2930,131,38.5,3.36,0.106
1.9,2.641,74100,54700,34800,23300,18800,1590,89.7,27.5,2.41,0.0676
1.9,3.081,38800,30300,19100,12500,9770,882,60.2,19.3,1.7,0
1.9,3.521,22200,18100,10900,6940,5040,477,39.4,13.3,1.19,0
1.9,3.961,12300,9710,5810,3600,2410,257,24.5,9.03,0.801,0
1.9,4.401,5600,4050,2530,1530,968,125,14.3,5.95,0.488,0
1.9,4.621,3410,2240,1390,795,491,76.9,10.6,4.36,0.357,0
1.9,4.842,1170,920,592,354,216,39.9,6.79,2.91,0.247,0
1.9,5.062,323,258,215,123,73.5,17.5,3.68,1.74,0.151,0
1.9,5.282,48.4,42.5,34.3,22.5,14.6,5.32,1.61,0.849,0,0
1.9,5.502,1.8,1.7,1.58,1.24,1.13,0.766,0.311,0.182,0,0
1.9,5.722,0.159,0.153,0.0873,0.0936,0.102,0.0854,0,0,0,0
1.9,5.92,0,0,0,0,0,0,0,0,0,0
2,1,1.57e+07,6.57e+06,3.58e+06,1.31e+06,611000,30500,521,90,4.68,0.184
2,1.027,1.4e+07,6e+06,3.28e+06,1.2e+06,562000,28300,497,87.3,4.57,0.177
2,1.54,2.38e+06,1.32e+06,759000,290000,153000,8310,225,49.5,2.91,0.0957
2,2.053,802000,461000,266000,111000,64300,3680,132,33.4,2.01,0
2,2.567,318000,198000,122000,56500,31900,1980,87.4,24,1.43,0
2,3.08,147000,98100,65000,32200,18200,1170,61.7,17.6,1.08,0
2,3.593,68300,53700,37800,19700,11200,708,43.2,12.9,0.805,0
2,4.107,37400,28900,22100,12900,6880,448,30.5,9.32,0.587,0
2,4.62,19400,14600,13900,7620,3960,269,20.2,6.57,0.413,0
2,5.133,11000,6530,7170,4210,2050,152,12.6,4.2,0.283,0
2,5.39,5120,5350,4580,2580,1260,106,9.8,3.13,0.209,0
2,5.647,3930,2810,2280,1360,618,62.9,6.25,2.17,0.152,0
2,5.903,1510,1350,916,528,256,30.6,3.71,1.37,0.105,0
2,6.16,477,343,238,106,53.2,9.94,1.79,0.699,0,0
2,6.417,64.2,45.8,25.6,12.1,6.29,1.95,0.536,0.226,0,0
2,6.674,6.32,3,1.73,0.837,0.46,0.145,0,0,0,0
2,6.905,0.57,0,0,0,0,0,0,0,0,0
2.2,1,5.81e+07,2.45e+07,1.05e+07,2.08e+06,583000,17500,270,35.4,0.96,0
2.2,1.025,5.38e+07,2.27e+07,9.73e+06,1.93e+06,540000,16400,259,34.4,0.942,0
2.2,1.367,2.11e+07,8.53e+06,3.76e+06,765000,211000,7400,149,23.1,0.725,0
2.2,2.05,6.42e+06,2.19e+06,1.08e+06,238000,66000,2700,74.4,13,0.455,0
2.2,2.733,2.66e+06,1.02e+06,522000,110000,32400,1490,47.4,8.81,0.306,0
2.2,3.416,1.38e+06,547000,292000,62500,19000,963,32.9,6.32,0.223,0
2.2,4.1,812000,318000,176000,40000,12000,658,23.8,4.66,0.177,0
2.2,4.783,503000,192000,112000,26500,7760,456,17.4,3.4,0.128,0
2.2,5.466,329000,120000,69000,17400,5220,306,12.2,2.43,0,0
2.2,6.15,210000,73500,39800,11300,3330,197,8.26,1.7,0,0
2.2,6.833,125000,43200,22100,6440,2050,122,5.35,1.1,0,0
2.2,7.516,63600,19200,9320,3020,975,65.9,2.75,0.562,0,0
2.2,8.2,11400,3720,1320,534,227,17.5,0.82,0.16,0,0
2.2,8.883,94.2,39.1,20.7,7.87,3.61,0.813,0,0,0,0
2.2,9.6,0,0,0,0,0,0,0,0,0,0
2.4,1,1.44e+08,5.17e+07,2.19e+07,2.42e+06,474000,8350,103,10.9,0.172,0
2.4,1.331,6.45e+07,2.27e+07,9.07e+06,931000,191000,3730,59.6,7.44,0,0
2.4,1.775,2.98e+07,1.06e+07,4.11e+06,410000,78000,1840,37.4,5.1,0,0
2.4,2.662,1.18e+07,4.2e+06,1.53e+06,155000,30100,842,20.9,3.06,0,0
2.4,3.549,6.46e+06,2.18e+06,782000,82700,16500,543,14,2.18,0,0
2.4,4.437,3.91e+06,1.26e+06,461000,52300,10500,372,10.2,1.66,0,0
2.4,5.324,2.44e+06,775000,289000,35200,7020,272,7.63,1.28,0,0
2.4,6.211,1.52e+06,490000,185000,24500,5040,199,5.77,0.995,0,0
2.4,7.098,952000,316000,121000,17500,3530,148,4.42,0.768,0,0
2.4,7.986,575000,196000,73900,12100,2440,101,3.3,0.585,0,0
2.4,8.873,325000,114000,43400,7520,1510,65.7,2.39,0.432,0,0
2.4,9.76,161000,57400,20200,4440,807,42.6,1.4,0.256,0,0
2.4,10.648,47400,16200,6280,1150,248,14.2,0.667,0,0,0
2.4,11.535,1990,641,244,52.2,15.8,1.36,0,0,0,0
2.4,12.467,25.6,7.73,3.08,0.711,0,0,0,0,0,0
2.4,12.866,3.04,0,0,0,0,0,0,0,0,0
2.6,1,2.77e+08,9.5e+07,3.48e+07,2.35e+06,304000,3820,35.7,3.02,0,0
2.6,1.128,2.06e+08,7e+07,2.47e+07,1.5e+06,194000,2580,28,2.58,0,0
2.6,2.256,4.3e+07,1.4e+07,4.19e+06,219000,27600,488,8.46,1.01,0,0
2.6,3.384,1.96e+07,5.85e+06,1.77e+06,98000,13400,263,4.87,0.618,0,0
2.6,4.512,1.07e+07,3.28e+06,971000,56400,8100,170,3.24,0.433,0,0
2.6,5.64,6.42e+06,2.05e+06,585000,35600,5280,117,2.25,0.304,0,0
2.6,6.768,4.15e+06,1.35e+06,372000,23500,3550,81.9,1.63,0.215,0,0
2.6,7.896,2.81e+06,899000,244000,16100,2420,57.6,1.19,0,0,0
2.6,9.024,1.93e+06,606000,157000,10900,1690,41.9,0.857,0,0,0
2.6,10.152,1.26e+06,375000,95500,7280,1090,29.2,0.658,0,0,0
2.6,11.28,735000,216000,53700,4300,661,18.3,0,0,0,0
2.6,12.408,340000,110000,25000,2160,346,9.37,0,0,0,0
2.6,13.536,119000,37900,8740,791,137,3.8,0,0,0,0
2.6,14.664,19700,6200,1570,152,29.8,0.906,0,0,0,0
2.6,15.849,393,117,34.2,3.54,0,0,0,0,0,0
2.6,16.977,7.23,0,0,0,0,0,0,0,0,0
2.8,1,4.3e+08,1.43e+08,4.6e+07,1.87e+06,159000,1230,7.85,0.568,0,0
2.8,1.408,2.18e+08,6.45e+07,1.6e+07,564000,52400,489,3.59,0,0,0
2.8,2.817,5.8e+07,1.58e+07,3.5e+06,118000,11700,120,1.3,0,0,0
2.8,4.225,2.65e+07,7.9e+06,1.59e+06,56100,5650,65.4,0,0,0,0
2.8,5.634,1.54e+07,4.71e+06,903000,32600,3330,42.7,0,0,0,0
2.8,7.042,1.03e+07,3.1e+06,572000,20600,2180,29.6,0,0,0,0
2.8,8.451,7.19e+06,2.17e+06,379000,13800,1490,21.4,0,0,0,0
2.8,9.859,5.33e+06,1.5e+06,257000,9440,1090,16.3,0,0,0,0
2.8,11.268,3.83e+06,1.01e+06,175000,6590,787,12.6,0,0,0,0
2.8,12.676,2.7e+06,663000,115000,4560,571,9.06,0,0,0,0
2.8,14.085,1.78e+06,420000,72800,3020,397,6.26,0,0,0,0
2.8,15.493,1.12e+06,240000,42200,1770,247,4.19,0,0,0,0
2.8,16.901,501000,102000,15900,775,113,2.15,0,0,0,0
2.8,18.31,116000,19500,2790,167,26.7,0,0,0,0,0
2.8,19.789,10700,1730,284,20.5,3.22,0,0,0,0,0
2.8,21.197,208,32.4,5.5,0,0,0,0,0,0,0
2.8,21.901,28.9,0,0,0,0,0,0,0,0,0
3,1,5.91e+08,1.9e+08,4.53e+07,1.29e+06,76100,350,0,0,0,0
3,1.733,2.14e+08,5.33e+07,1.01e+07,215000,14500,81.3,0,0,0,0
3,3.466,7.82e+07,1.63e+07,2.54e+06,55700,3850,22,0,0,0,0
3,5.199,4.38e+07,8.64e+06,1.27e+06,26700,1960,11.1,0,0,0,0
3,6.932,2.96e+07,5.43e+06,740000,15700,1200,7.64,0,0,0,0
