L,B_over_B0,E_0.2_MeV,E_0.6_MeV,E_1.25_MeV,E_3_MeV,E_5_MeV,E_12.5_MeV,E_30_MeV,E_50_MeV,E_125_MeV,E_300_MeV
1.14,1,2730,424,61.6,7.24,3.58,4.01,3.78,1.01,0.0949,0.0196
1.14,1.018,1600,245,35.3,4.1,2.02,2.23,2.09,0.556,0.0517,0.0196
1.14,1.037,854,129,18.3,2.1,1.03,1.12,1.04,0.275,0.0253,0.0196
1.14,1.055,394,58,8.15,0.922,0.447,0.482,0.44,0.116,0.0196,0.0196
1.14,1.064,245,35.6,4.96,0.557,0.268,0.287,0.26,0.068,0.0196,0.0196
1.14,1.074,139,19.9,2.75,0.305,0.146,0.155,0.139,0.0361,0.0196,0.0196
1.14,1.083,67.8,9.53,1.3,0.142,0.0677,0.0708,0.0629,0.0196,0.0196,0.0196
1.14,1.092,24.6,3.37,0.453,0.0488,0.023,0.0236,0.0207,0.0196,0.0196,0.0196
1.16,1,10400,1620,235,27.8,13.8,15.4,14.6,3.9,0.367,0.0516
1.16,1.027,5640,871,126,14.7,7.27,8.1,7.61,2.03,0.19,0.0265
1.16,1.041,4020,616,88.9,10.4,5.1,5.65,5.29,1.41,0.131,0.0196
1.16,1.054,2770,423,60.7,7.04,3.46,3.82,3.56,0.947,0.0878,0.0196
1.16,1.082,1160,175,24.8,2.85,1.39,1.52,1.41,0.372,0.0342,0.0196
1.16,1.095,683,102,14.4,1.64,0.799,0.869,0.798,0.211,0.0196,0.0196
1.16,1.109,363,53.5,7.52,0.851,0.413,0.445,0.407,0.107,0.0196,0.0196
1.16,1.122,164,23.8,3.33,0.373,0.18,0.193,0.175,0.0457,0.0196,0.0196
1.16,1.136,53.7,7.7,1.06,0.118,0.0565,0.0597,0.0536,0.0196,0.0196,0.0196
1.18,1,42700,6680,975,115,57.1,64.2,60.8,16.3,1.53,0.216
1.18,1.037,21300,3320,482,56.7,28.1,31.4,29.7,7.93,0.744,0.105
1.18,1.056,14500,2250,326,38.3,18.9,21.2,19.9,5.32,0.499,0.0699
1.18,1.074,9530,1470,213,25,12.3,13.8,12.9,3.45,0.322,0.0451
1.18,1.093,6010,925,134,15.6,7.7,8.56,8.03,2.14,0.2,0.0279
1.18,1.112,3580,549,79.1,9.22,4.54,5.03,4.7,1.25,0.116,0.0196
1.18,1.13,1970,302,43.3,5.03,2.47,2.73,2.55,0.677,0.0628,0.0196
