L,B_over_B0,E_0.16_MeV,E_0.35_MeV,E_0.6_MeV,E_0.9_MeV,E_1.5_MeV,E_2.5_MeV,E_3.5_MeV,E_4.5_MeV,E_5.5_MeV,E_6.5_MeV
1.2,1,1.52e+06,872000,50200,9050,1040,134,0,0,0,0
1.2,1.109,88600,47500,2640,476,54.6,0,0,0,0,0
1.2,1.137,32400,17300,959,173,19.9,0,0,0,0,0
1.2,1.164,11600,5620,308,55.6,0,0,0,0,0,0
1.2,1.192,2840,1310,70.9,12.8,0,0,0,0,0,0
1.2,1.22,435,184,0,0,0,0,0,0,0,0
1.2,1.248,17.6,0,0,0,0,0,0,0,0,0
1.2,1.275,0,0,0,0,0,0,0,0,0,0
1.3,1,1.81e+08,5.96e+07,3.4e+06,599000,86500,11800,1680,0,0,0
1.3,1.128,1.17e+08,3.83e+07,2.17e+06,383000,55400,7540,1080,0,0,0
1.3,1.269,3.21e+07,9.94e+06,559000,98500,14200,1940,277,0,0,0
1.3,1.41,4.24e+06,1.19e+06,66900,11800,1700,232,0,0,0,0
1.3,1.445,2.2e+06,608000,34600,6100,881,120,0,0,0,0
1.3,1.48,1.04e+06,277000,15800,2780,402,54.7,0,0,0,0
1.3,1.516,384000,106000,6040,1070,154,21,0,0,0,0
1.3,1.551,113000,30900,1760,310,44.8,0,0,0,0,0
1.3,1.586,17400,5240,299,52.7,7.61,0,0,0,0,0
1.3,1.621,233,156,0,0,0,0,0,0,0,0
1.3,1.657,0,0,0,0,0,0,0,0,0,0
1.4,1,4.48e+08,1.3e+08,8.53e+06,2.6e+06,505000,87500,7440,0,0,0
1.4,1.057,4.12e+08,1.19e+08,7.82e+06,2.38e+06,463000,80100,6820,0,0,0
1.4,1.233,3.15e+08,9.1e+07,5.96e+06,1.81e+06,353000,61000,5190,0,0,0
1.4,1.409,2.21e+08,6.14e+07,3.99e+06,1.22e+06,236000,40900,3480,0,0,0
1.4,1.585,8.89e+07,2.32e+07,1.48e+06,450000,87600,15200,1290,0,0,0
1.4,1.761,2.78e+07,6.7e+06,419000,128000,24800,4300,365,0,0,0
1.4,1.805,1.9e+07,4.58e+06,286000,87100,17000,2930,250,0,0,0
1.4,1.849,1.27e+07,2.97e+06,184000,55900,10900,1880,160,0,0,0
1.4,1.893,7.89e+06,1.8e+06,111000,33800,6580,1140,0,0,0,0
1.4,1.937,4.36e+06,990000,60800,18500,3600,623,0,0,0,0
1.4,1.981,2.03e+06,464000,28000,8520,1660,287,0,0,0,0
1.4,2.025,675000,157000,9040,2750,535,92.6,0,0,0,0
1.4,2.069,83100,21800,1090,332,64.7,0,0,0,0,0
1.4,2.113,0,0,0,0,0,0,0,0,0,0
1.5,1,7.39e+08,2.15e+08,1.46e+07,3.97e+06,690000,159000,10900,0,0,0
1.5,1.3,4.52e+08,1.23e+08,8.26e+06,2.25e+06,391000,90100,6180,0,0,0
1.5,1.516,2.89e+08,6.98e+07,4.55e+06,1.24e+06,215000,49600,3410,0,0,0
