L,B_over_B0,E_0.16_MeV,E_0.35_MeV,E_0.6_MeV,E_0.9_MeV,E_1.5_MeV,E_2.5_MeV,E_3.5_MeV,E_4.5_MeV,E_5.5_MeV,E_6.5_MeV
1.5,1.733,1.75e+08,3.89e+07,2.48e+06,676000,118000,27100,1860,0,0,0
1.5,1.949,1e+08,2.08e+07,1.3e+06,353000,61400,14200,972,0,0,0
1.5,2.166,5.15e+07,9.75e+06,602000,164000,28500,6560,451,0,0,0
1.5,2.383,1.9e+07,3.46e+06,208000,56500,9840,2270,156,0,0,0
1.5,2.491,8.91e+06,1.53e+06,91700,24900,4340,1000,0,0,0,0
1.5,2.599,1.73e+06,298000,17400,4730,822,189,0,0,0,0
1.5,2.707,0,0,0,0,0,0,0,0,0,0
1.6,1,1.03e+09,2.89e+08,2.35e+07,4e+06,588000,106000,5940,0,0,0
1.6,1.051,9.58e+08,2.64e+08,2.14e+07,3.64e+06,534000,96300,5400,0,0,0
1.6,1.314,6.43e+08,1.64e+08,1.31e+07,2.22e+06,326000,58800,3300,0,0,0
1.6,1.577,4.19e+08,9.26e+07,7.18e+06,1.22e+06,179000,32300,1810,0,0,0
1.6,1.84,2.66e+08,5.38e+07,4.06e+06,691000,101000,18300,1030,0,0,0
1.6,2.103,1.67e+08,3.12e+07,2.31e+06,392000,57600,10400,582,0,0,0
1.6,2.366,1.01e+08,1.75e+07,1.27e+06,215000,31600,5700,319,0,0,0
1.6,2.628,5.51e+07,9.01e+06,636000,108000,15900,2860,160,0,0,0
1.6,2.891,2.5e+07,3.75e+06,264000,45000,6600,1190,0,0,0,0
1.6,3.023,1.41e+07,2.05e+06,144000,24500,3600,649,0,0,0,0
1.6,3.154,5.92e+06,858000,58400,9930,1460,263,0,0,0,0
1.6,3.286,769000,104000,6950,1180,174,31.3,0,0,0,0
1.6,3.417,0,0,0,0,0,0,0,0,0,0
1.7,1,1.28e+09,3.61e+08,3.11e+07,3.75e+06,406000,55900,2660,0,0,0
1.7,1.261,9.1e+08,2.38e+08,2.02e+07,2.43e+06,264000,36300,1730,0,0,0
1.7,1.577,6.02e+08,1.37e+08,1.12e+07,1.35e+06,147000,20200,959,0,0,0
1.7,1.892,3.91e+08,7.95e+07,6.36e+06,766000,83000,11400,543,0,0,0
1.7,2.207,2.58e+08,4.75e+07,3.72e+06,448000,48500,6670,317,0,0,0
1.7,2.522,1.68e+08,2.84e+07,2.18e+06,262000,28400,3910,186,0,0,0
1.7,2.838,1.05e+08,1.65e+07,1.24e+06,150000,16200,2230,106,0,0,0
1.7,3.153,6.16e+07,9.08e+06,672000,80900,8770,1210,0,0,0,0
1.7,3.468,3.15e+07,4.37e+06,321000,38700,4190,576,0,0,0,0
1.7,3.784,1.13e+07,1.48e+06,108000,12900,1400,193,0,0,0,0
1.7,3.941,4.69e+06,598000,41800,5040,546,75.1,0,0,0,0
1.7,4.099,418000,52600,3650,440,47.6,0,0,0,0,0
1.7,4.257,0,0,0,0,0,0,0,0,0,0
1.8,1,1.36e+09,3.82e+08,3.81e+07,3.33e+06,247000,20000,995,0,0,0
1.8,1.123,1.16e+09,3.1e+08,3.07e+07,2.68e+06,199000,16100,801,0,0,0
1.8,1.497,7.23e+08,1.66e+08,1.58e+07,1.38e+06,102000,8300,413,0,0,0
1.8,1.871,4.62e+08,9.3e+07,8.57e+06,748000,55500,4490,224,0,0,0
1.8,2.246,3.08e+08,5.5e+07,4.93e+06,430000,31900,2590,129,0,0,0
1.8,2.62,2.07e+08,3.34e+07,2.93e+06,256000,19000,1540,76.5,0,0,0
1.8,2.994,1.37e+08,2.05e+07,1.75e+06,153000,11300,918,45.7,0,0,0
1.8,3.368,8.92e+07,1.23e+07,1.03e+06,90000,6680,541,0,0,0,0
1.8,3.743,5.46e+07,7.05e+06,578000,50400,3740,303,0,0,0,0
1.8,4.117,3e+07,3.62e+06,292000,25400,1890,153,0,0,0,0
1.8,4.491,1.25e+07,1.45e+06,118000,10300,762,61.7,0,0,0,0
1.8,4.678,6.43e+06,737000,58100,5070,376,30.5,0,0,0,0
1.8,4.865,2e+06,226000,17700,1540,115,0,0,0,0,0
1.8,5.052,0,0,0,0,0,0,0,0,0,0
1.9,1,1.28e+09,3.28e+08,3.73e+07,2.66e+06,128000,6590,299,0,0,0
1.9,1.32,8.18e+08,1.78e+08,1.95e+07,1.4e+06,67100,3450,157,0,0,0
1.9,1.761,5.01e+08,9.29e+07,9.78e+06,699000,33600,1730,78.5,0,0,0
1.9,2.201,3.3e+08,5.35e+07,5.45e+06,389000,18700,964,43.7,0,0,0
1.9,2.641,2.22e+08,3.24e+07,3.21e+06,229000,11000,568,0,0,0,0
1.9,3.081,1.52e+08,2.03e+07,1.95e+06,140000,6710,345,0,0,0,0
1.9,3.521,1.03e+08,1.27e+07,1.2e+06,85800,4130,212,0,0,0,0
1.9,3.961,6.81e+07,7.83e+06,727000,52000,2500,129,0,0,0,0
1.9,4.401,4.32e+07,4.64e+06,424000,30300,1460,75,0,0,0,0
1.9,4.842,2.5e+07,2.52e+06,228000,16300,783,40.3,0,0,0,0
1.9,5.282,1.18e+07,1.16e+06,102000,7270,349,0,0,0,0,0
1.9,5.722,3.24e+06,299000,25800,1840,88.5,0,0,0,0,0
1.9,6.162,0,0,0,0,0,0,0,0,0,0
2,1,1.2e+09,2.7e+08,2.87e+07,1.85e+06,74900,3090,105,0,0,0
2,1.027,1.16e+09,2.58e+08,2.72e+07,1.76e+06,71200,2940,99.8,0,0,0
2,1.54,6.33e+08,1.14e+08,1.14e+07,734000,29700,1230,41.7,0,0,0
2,2.053,3.98e+08,6.15e+07,5.9e+06,380000,15400,636,0,0,0,0
2,2.567,2.69e+08,3.65e+07,3.4e+06,219000,8880,366,0,0,0,0
2,3.08,1.87e+08,2.28e+07,2.07e+06,133000,5400,223,0,0,0,0
2,3.593,1.3e+08,1.46e+07,1.29e+06,83400,3380,139,0,0,0,0
2,4.107,9.1e+07,9.45e+06,818000,52800,2140,88.2,0,0,0,0
2,4.62,6.21e+07,6.04e+06,516000,33300,1350,55.7,0,0,0,0
2,5.133,4.1e+07,3.73e+06,314000,20300,821,33.9,0,0,0,0
2,5.647,2.53e+07,2.16e+06,179000,11600,468,0,0,0,0,0
2,6.16,1.34e+07,1.09e+06,90500,5830,236,0,0,0,0,0
2,6.417,8.78e+06,695000,56700,3650,148,0,0,0,0,0
2,6.674,4.94e+06,381000,31100,2000,81.2,0,0,0,0,0
2,7.187,893,0,0,0,0,0,0,0,0,0
2,7.444,0,0,0,0,0,0,0,0,0,0
2.2,1,1.03e+09,1.74e+08,1.63e+07,899000,38800,1230,0,0,0,0
2.2,1.367,6.8e+08,9.49e+07,8.59e+06,472000,20400,644,0,0,0,0
2.2,2.05,3.78e+08,4.32e+07,3.66e+06,201000,8690,275,0,0,0,0
2.2,2.733,2.43e+08,2.34e+07,1.89e+06,104000,4490,142,0,0,0,0
2.2,3.416,1.65e+08,1.39e+07,1.08e+06,59600,2570,81.3,0,0,0,0
2.2,4.1,1.14e+08,8.67e+06,659000,36200,1560,0,0,0,0,0
2.2,4.783,8.14e+07,5.59e+06,414000,22800,983,0,0,0,0,0
2.2,5.466,5.76e+07,3.67e+06,264000,14500,627,0,0,0,0,0
2.2,6.15,4.05e+07,2.39e+06,169000,9310,402,0,0,0,0,0
2.2,6.833,2.75e+07,1.53e+06,106000,5840,252,0,0,0,0,0
2.2,7.516,1.78e+07,939000,63700,3500,151,0,0,0,0,0
2.2,8.2,1.05e+07,526000,35100,1930,83.4,0,0,0,0,0
2.2,8.883,5.08e+06,240000,16300,895,38.6,0,0,0,0,0
2.2,9.566,1.32e+06,59900,3860,212,0,0,0,0,0,0
2.2,10.249,0,0,0,0,0,0,0,0,0,0
2.4,1,8.38e+08,1.12e+08,1.41e+07,1.3e+06,53900,1250,0,0,0,0
2.4,1.775,5.95e+08,7.96e+07,9.98e+06,922000,38200,888,0,0,0,0
2.4,2.662,2.43e+08,3.25e+07,4.07e+06,376000,15600,363,0,0,0,0
2.4,3.549,8.01e+07,1.07e+07,1.34e+06,124000,5150,0,0,0,0,0
2.4,4.437,3.42e+07,4.57e+06,573000,53000,2200,0,0,0,0,0
2.4,5.324,1.7e+07,2.27e+06,284000,26300,1090,0,0,0,0,0
2.4,6.211,8.95e+06,1.2e+06,150000,13900,576,0,0,0,0,0
2.4,7.098,4.73e+06,633000,79400,7330,304,0,0,0,0,0
2.4,7.986,2.68e+06,359000,45000,4160,173,0,0,0,0,0
2.4,8.873,1.42e+06,190000,23800,2200,91.5,0,0,0,0,0
2.4,9.76,751000,100000,12600,1160,0,0,0,0,0,0
2.4,10.648,387000,51700,6490,600,0,0,0,0,0,0
2.4,11.535,176000,23500,2950,273,0,0,0,0,0,0
2.4,12.422,73500,9830,1230,116,0,0,0,0,0,0
2.4,13.31,21800,2920,366,34.5,0,0,0,0,0,0
2.4,14.286,2810,376,47.1,0,0,0,0,0,0,0
2.4,14.6,888,119,0,0,0,0,0,0,0,0
2.4,15,50.2,0,0,0,0,0,0,0,0,0
2.75,1,3.17e+08,2.6e+07,6.38e+06,2.14e+06,351000,69500,10100,988,0,0
2.75,1.334,2.78e+08,2.28e+07,5.59e+06,1.88e+06,307000,60900,8850,865,0,0
2.75,2.668,1.41e+08,1.16e+07,2.84e+06,954000,157000,31000,4520,446,0,0
2.75,4.003,4.96e+07,4.07e+06,998000,336000,55200,10900,1590,157,0,0
2.75,6.671,1.44e+07,1.19e+06,292000,98200,16200,3210,469,46.8,0,0
2.75,8.672,7.28e+06,597000,147000,49600,8230,1630,239,24.2,0,0
2.75,10.674,4.07e+06,334000,82400,27800,4590,909,133,0,0,0
2.75,13.342,1.92e+06,158000,39000,13200,2190,434,64.1,0,0,0
2.75,14.676,1.33e+06,109000,27000,9170,1530,303,44.7,0,0,0
2.75,17.345,613000,50500,12500,4250,713,142,21.1,0,0,0
2.75,20.013,250000,20700,5220,1790,304,60.5,0,0,0,0
2.75,21.348,148000,12300,3140,1080,183,36.7,0,0,0,0
2.75,24.016,36700,3130,807,287,48.9,9.75,0,0,0,0
2.75,24.316,29700,2550,685,235,39.3,7.96,0,0,0,0
2.75,24.616,24200,2060,540,187,31.4,0,0,0,0,0
2.75,25,16900,1440,380,134,23.6,0,0,0,0,0
2.75,25.316,12300,1060,284,101,18.3,0,0,0,0,0
2.75,25.616,9020,787,217,75.3,12.9,0,0,0,0,0
2.75,26,5590,485,130,45.5,7.58,0,0,0,0,0
2.75,26.5,2350,199,54.3,19.1,0,0,0,0,0,0
2.75,27,519,44.3,12.2,0,0,0,0,0,0,0
2.75,27.5,0,0,0,0,0,0,0,0,0,0
3,1,9.71e+07,1.76e+07,5.4e+06,2.27e+06,860000,177000,35200,6190,1300,197
3,3.466,3.32e+07,6.01e+06,1.84e+06,776000,294000,60400,12000,2110,444,67.1
3,8.666,7.62e+06,1.38e+06,423000,178000,67400,13900,2760,485,102,0
3,13.865,3.19e+06,578000,177000,74500,28200,5800,1160,203,42.6,0
3,19.064,1.56e+06,283000,86800,36600,13800,2840,567,99.6,20.9,0
3,26.863,541000,98100,30000,12700,4790,984,196,34.5,7.27,0
3,32.062,228000,41300,12600,5320,2010,414,82.6,14.6,0,0
3,37.262,62800,11400,3490,1470,556,114,22.9,0,0,0
3,42.461,35.9,6.57,0,0,0,0,0,0,0,0
3,47.66,0,0,0,0,0,0,0,0,0,0
3.5,1,1.43e+08,2.64e+07,9.99e+06,5e+06,1.62e+06,409000,103000,16100,1340,54.2
3.5,1.376,1.31e+08,2.41e+07,9.13e+06,4.57e+06,1.48e+06,374000,93700,14700,1230,49.5
3.5,5.502,5.31e+07,9.78e+06,3.7e+06,1.85e+06,600000,152000,38000,5950,497,0
3.5,13.755,2.25e+07,4.15e+06,1.57e+06,787000,255000,64400,16100,2530,211,0
3.5,22.008,1.33e+07,2.45e+06,926000,464000,150000,37900,9500,1490,124,0
3.5,30.261,8.52e+06,1.57e+06,594000,297000,96300,24300,6100,956,79.8,0
3.5,42.641,4.22e+06,777000,294000,147000,47700,12100,3020,473,39.5,0
3.5,50.894,2.34e+06,432000,163000,81900,26500,6700,1680,263,0,0
3.5,59.147,947000,175000,66100,33100,10700,2710,678,106,0,0
3.5,67.4,534,98.3,37.2,18.6,6.07,0,0,0,0,0
3.5,75.653,0,0,0,0,0,0,0,0,0,0
4,1,1.56e+08,4.56e+07,1.64e+07,7.17e+06,2.51e+06,582000,95500,10900,599,0
4,2.058,1.22e+08,3.57e+07,1.29e+07,5.62e+06,1.97e+06,456000,74800,8530,469,0
4,8.23,4.57e+07,1.33e+07,4.81e+06,2.1e+06,734000,170000,27900,3180,175,0
4,20.576,2.15e+07,6.26e+06,2.26e+06,986000,345000,79900,13100,1500,82.3,0
4,32.922,1.3e+07,3.81e+06,1.37e+06,599000,210000,48600,7980,909,0,0
4,45.267,8.52e+06,2.49e+06,896000,391000,137000,31700,5210,594,0,0
4,63.786,4.37e+06,1.27e+06,459000,201000,70200,16300,2670,304,0,0
4,76.132,2.51e+06,731000,264000,115000,40300,9330,1530,175,0,0
4,88.477,1.05e+06,307000,111000,48400,16900,3920,644,73.4,0,0
4,100.823,1340,391,141,61.5,21.6,0,0,0,0,0
4,113.169,0,0,0,0,0,0,0,0,0,0
4.5,1,1.8e+08,5.55e+07,1.96e+07,9.6e+06,3.27e+06,445000,67900,6820,263,0
4.5,2.924,1.18e+08,3.63e+07,1.28e+07,6.27e+06,2.14e+06,290000,44300,4460,0,0
4.5,29.24,1.95e+07,6.01e+06,2.12e+06,1.04e+06,355000,48200,7350,739,0,0
4.5,46.784,1.21e+07,3.74e+06,1.32e+06,647000,221000,30000,4570,460,0,0
4.5,58.48,9.07e+06,2.8e+06,986000,483000,165000,22400,3420,344,0,0
4.5,64.327,7.9e+06,2.44e+06,859000,421000,144000,19500,2980,299,0,0
4.5,90.643,4.07e+06,1.25e+06,442000,217000,74000,10000,1530,154,0,0
4.5,108.187,2.34e+06,721000,254000,125000,42500,5780,882,88.6,0,0
4.5,125.731,1.04e+06,320000,113000,55400,18900,2560,392,39.3,0,0
4.5,143.275,29300,9020,3180,1560,532,72.3,11.1,0,0,0
4.5,160.819,0,0,0,0,0,0,0,0,0,0
5,1,1.93e+08,5.8e+07,2.28e+07,8e+06,2.47e+06,287000,37900,3990,0,0
5,4.016,1.02e+08,3.06e+07,1.2e+07,4.23e+06,1.3e+06,152000,20000,2110,0,0
5,16.064,3.52e+07,1.06e+07,4.16e+06,1.46e+06,451000,52500,6930,730,0,0
5,40.161,1.71e+07,5.14e+06,2.02e+06,710000,219000,25500,3360,354,0,0
5,64.257,1.05e+07,3.16e+06,1.24e+06,436000,135000,15700,2070,218,0,0
5,88.353,6.97e+06,2.1e+06,823000,289000,89100,10400,1370,144,0,0
5,124.498,3.62e+06,1.09e+06,428000,150000,46300,5400,712,75,0,0
5,148.594,2.09e+06,628000,247000,86600,26700,3110,410,43.2,0,0
5,172.691,901000,271000,106000,37400,11500,1340,177,0,0,0
5,196.787,31200,9370,3680,1290,398,46.4,0,0,0,0
5,220.884,0,0,0,0,0,0,0,0,0,0
6,1,1.74e+08,4.59e+07,1.32e+07,4e+06,899000,87800,10000,1030,0,0
6,6.944,6.06e+07,1.6e+07,4.58e+06,1.39e+06,312000,30500,3490,359,0,0
6,27.778,2.34e+07,6.17e+06,1.77e+06,538000,121000,11800,1350,139,0,0
6,69.444,1.11e+07,2.92e+06,837000,254000,57100,5580,638,0,0,0
6,111.111,6.9e+06,1.82e+06,522000,159000,35600,3480,398,0,0,0
6,152.778,4.52e+06,1.19e+06,341000,104000,23300,2270,260,0,0,0
6,215.278,2.35e+06,619000,177000,53900,12100,1180,135,0,0,0
6,256.944,1.37e+06,360000,103000,31400,7060,689,78.8,0,0,0
6,298.611,620000,163000,46800,14200,3190,312,35.7,0,0,0
6,340.278,45000,11800,3400,1030,232,22.6,0,0,0,0
6,381.944,0,0,0,0,0,0,0,0,0,0
7,1,1.09e+08,2.34e+07,5.11e+06,1.24e+06,242000,15400,1310,233,0,0
7,10.989,2.85e+07,6.13e+06,1.34e+06,326000,63700,4050,345,0,0,0
7,43.956,1.05e+07,2.27e+06,496000,121000,23500,1500,127,0,0,0
7,109.89,5.23e+06,1.12e+06,246000,59800,11700,743,63.2,0,0,0
7,175.824,3.24e+06,696000,152000,37000,7220,459,39.1,0,0,0
7,241.758,2.16e+06,464000,101000,24700,4820,306,26.1,0,0,0
7,340.659,1.14e+06,246000,53700,13100,2550,162,13.8,0,0,0
7,406.593,674000,145000,31700,7700,1500,95.6,8.14,0,0,0
7,472.527,316000,67900,14900,3610,705,44.8,0,0,0,0
7,538.462,39800,8550,1870,455,88.8,0,0,0,0,0
7,604.396,0,0,0,0,0,0,0,0,0,0
8,1,4.9e+07,7.33e+06,940000,204000,28000,810,101,0,0,0
8,16.393,9.57e+06,1.43e+06,184000,39800,5480,158,19.7,0,0,0
8,65.574,3.87e+06,579000,74200,16100,2210,63.9,7.96,0,0,0
8,163.934,1.86e+06,278000,35700,7730,1060,30.7,3.82,0,0,0
8,262.295,1.16e+06,173000,22200,4800,661,19.1,0,0,0,0
8,360.656,760000,114000,14600,3160,435,12.6,0,0,0,0
8,508.197,400000,59900,7670,1660,229,6.75,0,0,0,0
8,606.557,237000,35500,4550,987,136,0,0,0,0,0
8,704.918,110000,16500,2110,457,62.9,0,0,0,0,0
8,803.279,14300,2140,274,59.4,0,0,0,0,0,0
8,901.639,0,0,0,0,0,0,0,0,0,0
9,1,1.36e+07,1.14e+06,49900,8980,725,18.2,4.14,0,0,0
9,23.256,2.33e+06,194000,8540,1540,124,3.25,0,0,0,0
9,93.023,1e+06,83300,3660,659,53.2,0,0,0,0,0
9,232.558,495000,41300,1810,326,0,0,0,0,0,0
9,372.093,315000,26300,1150,208,0,0,0,0,0,0
9,511.628,211000,17600,771,139,0,0,0,0,0,0
9,720.93,114000,9480,416,74.9,0,0,0,0,0,0
9,860.465,69200,5770,253,45.6,0,0,0,0,0,0
10,1,1.77e+06,53500,408,60,0,0,0,0,0,0
10,32.258,415000,12500,95.5,14.6,0,0,0,0,0,0
10,129.032,202000,6100,46.5,0,0,0,0,0,0,0
10,322.581,117000,3520,26.8,0,0,0,0,0,0,0
10,516.129,79800,2410,0,0,0,0,0,0,0,0
10,709.677,57200,1720,0,0,0,0,0,0,0,0
11,1,1.36e+09,3.82e+08,3.81e+07,3.33e+06,247000,20000,995,0,0,0
11,43.478,0,0,0,0,0,0,0,0,0,0
