E_MeV,400,600,800,1000,1700,2000,2500,3000,4000,5000,6000,8000,10000,15000,20000,30000
25.1,5.59e+07,1.44e+08,2.79e+08,4.73e+08,3.21e+09,5.94e+09,1.75e+10,5.53e+10,1.09e+11,8.8e+10,5.73e+10,1.67e+10,2.9e+09,2.78e+07,0,0
31.6,3.72e+07,9.58e+07,1.82e+08,2.86e+08,1.8e+09,3.22e+09,8.55e+09,2.39e+10,4.1e+10,2.9e+10,1.83e+10,4.68e+09,7.36e+08,4.99e+06,0,0
39.8,2.93e+07,7.77e+07,1.49e+08,2.33e+08,1.49e+09,2.65e+09,6.99e+09,1.89e+10,3.05e+10,1.94e+10,1.1e+10,2.14e+09,2.71e+08,1.17e+06,0,0
50.1,2.3e+07,6.27e+07,1.18e+08,1.81e+08,1.07e+09,1.84e+09,4.4e+09,1.02e+10,1.45e+10,7.91e+09,3.98e+09,5.84e+08,5.91e+07,61300,0,0
63.1,1.84e+07,5.1e+07,9.68e+07,1.49e+08,8.95e+08,1.54e+09,3.56e+09,7.61e+09,9.68e+09,4.75e+09,2.19e+09,2.43e+08,2.09e+07,0,0,0
79.4,1.33e+07,3.85e+07,7.29e+07,1.12e+08,6.76e+08,1.16e+09,2.65e+09,5.51e+09,6.49e+09,2.84e+09,1.2e+09,1.01e+08,6.11e+06,0,0,0
100,8.91e+06,2.64e+07,4.94e+07,7.38e+07,4.53e+08,7.77e+08,1.81e+09,3.82e+09,4.24e+09,1.63e+09,6.47e+08,4.08e+07,1.5e+06,0,0,0
126,5.03e+06,1.59e+07,3.03e+07,4.58e+07,2.94e+08,5.09e+08,1.21e+09,2.59e+09,2.8e+09,1.02e+09,3.88e+08,1.83e+07,57200,0,0,0
158,2.5e+06,8.58e+06,1.67e+07,2.55e+07,1.73e+08,3.02e+08,7.36e+08,1.6e+09,1.67e+09,5.63e+08,2.06e+08,6.89e+06,0,0,0,0
199,1.08e+06,3.97e+06,7.78e+06,1.18e+07,8.35e+07,1.48e+08,3.61e+08,7.8e+08,7.46e+08,2.3e+08,8.12e+07,1.82e+06,0,0,0,0
251,393000,1.63e+06,3.34e+06,5.26e+06,4.02e+07,7.26e+07,1.86e+08,4.14e+08,3.9e+08,1.1e+08,3.68e+07,158000,0,0,0,0
316,112000,553000,1.2e+06,1.99e+06,1.65e+07,3.05e+07,8.19e+07,1.89e+08,1.75e+08,4.48e+07,1.4e+07,0,0,0,0,0
398,20000,142000,337000,599000,5.51e+06,1.05e+07,2.97e+07,7.1e+07,6.42e+07,1.45e+07,4.17e+06,0,0,0,0,0
501,30,19700,60900,128000,1.41e+06,2.81e+06,8.37e+06,2.09e+07,1.84e+07,3.45e+06,831000,0,0,0,0,0
