d_g_cm2,400,600,800,1000,1700,2000,2500,3000,4000,5000,6000,8000,10000,15000,20000,30000
0.01,18000,40400,77600,132000,715000,1.28e+06,3.44e+06,9.99e+06,3.58e+07,7.97e+07,1.25e+08,1.87e+08,1.78e+08,3.64e+07,956000,567
0.1,1110,2790,5690,10200,74800,143000,478000,1.81e+06,5.24e+06,6.68e+06,5.47e+06,2.46e+06,695000,22800,0,0
0.3,329,870,1720,2910,20100,37400,113000,377000,827000,762000,536000,183000,39500,627,0,0
0.5,211,564,1090,1780,11600,21100,58600,172000,322000,256000,168000,50300,9380,106,0,0
1,126,347,660,1030,6470,11400,28800,72900,112000,70400,40700,9030,1340,9.21,0,0
1.5,94.3,264,501,772,4800,8370,20500,48500,67500,37000,19500,3360,414,1.81,0,0
2,75.7,216,409,628,3890,6770,16300,37300,49100,24800,12200,1720,179,0.509,0,0
3,53.1,156,295,451,2810,4870,11600,25600,31300,14200,6430,673,50.4,0.131,0,0
10,16.6,53.6,102,153,995,1720,4040,8430,8500,2850,1040,46.5,1.03,0,0,0
